id,name_in_local_language,common_abbreviation,isil_marc,notes
Ottoman Prime Minister's Archives,Başbakanlık Osmanlı Arşivleri,BOA,TR-BOA,Ottoman Prime Minister's Archives use for Başbakanlık Osmanlı Arşivleri
British National Archives,,BNA,GB-UK-KeNA,British National Archives
"Central University Library, Cluj, Romania","Biblioteca Centrală Universitară ""Lucian Blaga"" Cluj-Napoca",BCU,RO-BCU,"Central University Library, Cluj, Romania"
State Archives in Zadar,Državni Arhiv u Zadru,DAZD,HR-DAZD,State Archives in Zadar
Venetian State Archives,Archivio di Stato di Venezia,ASVe,IT-VE0263,Venetian State Archives
Correr Civic Museum,Museo Civico Correr di Venezia,MCC,IT-VE0039,Correr Civic Museum
"Marciana Library, Venice",Biblioteca Nazionale Marciana di Venezia,BNM,IT-VE0049,"Biblioteca Nazionale Marciana, Venice"
British Library,,BL,GB-Uk,British Library
National Library of France,Bibliotheque Nationale de France,BNF,FR-BNF-751021006,Bibliotheque Nationale de France
Koper Regional Archives,Pokrajinski Arhiv Koper,PAK,SI-50501,Koper Regional Archives
Museum of Poreč Territory,Zavičajni muzej poreštine,MP,HR-MUSPOR,Museum of Poreč Territory
Koper Regional Museum,Pokrajinski Muzej Koper,PMK,SI-50502,Koper Regional Museum
"Archives of the Institutes for Recovery and Education, Venice","Archivio storico delle Istituzioni di Ricovero e di Educazione, Venezia",IRE,IT-VE0227,
SOAS Library,"Archives & Special Collections, SOAS Library, University of London ",SOAS,GB-SOAS,Archives & Special Collections